year,state,handgun,long_gun,other,totals,permit,permit_recheck
2002,Alaska,10504,20709,0,31213,0,0
2002,Arizona,53833,59906,0,113739,19382,0
2002,Arkansas,30448,82190,0,112638,6163,0
2002,California,235121,257323,0,492444,191714,0
2002,Colorado,66778,110700,0,177478,0,0
2002,Connecticut,24680,26081,0,50761,39618,0
2002,Delaware,4767,11345,0,16112,0,0
2002,District of Columbia,6,1,0,7,0,0
2002,Florida,129720,137169,0,266889,0,0
2002,Georgia,68660,121653,0,190313,28263,0
2002,Guam,113,180,0,293,0,0
2002,Hawaii,0,0,0,0,7801,0
2002,Idaho,12940,36437,0,49377,11580,0
2002,Illinois,52562,93303,0,145865,298024,0
2002,Indiana,19154,61251,0,80405,102722,0
2002,Iowa,283,38238,0,38521,49567,0
2002,Kansas,22864,59259,0,82123,0,0
2002,Kentucky,65820,120303,0,186123,0,0
2002,Louisiana,50115,88494,0,138609,23,0
2002,Maine,12379,34000,0,46379,0,0
2002,Mariana Islands,34,1,0,35,0,0
2002,Maryland,650,47969,0,48619,27781,0
2002,Massachusetts,17775,15486,0,33261,56175,0
2002,Michigan,23208,173907,0,197115,152273,0
2002,Minnesota,28026,116316,0,144342,38844,0
2002,Mississippi,36975,77077,0,114052,0,0
2002,Missouri,32075,142956,0,175031,0,0
2002,Montana,14595,41821,0,56416,2710,0
2002,Nebraska,179,25886,0,26065,15609,0
2002,Nevada,21956,23897,0,45853,0,0
2002,New Hampshire,13637,25722,0,39359,10079,0
2002,New Jersey,17647,24996,0,42643,0,0
2002,New Mexico,22499,38465,0,60964,0,0
2002,New York,7883,103299,0,111182,48562,0
2002,North Carolina,2097,139016,0,141113,87457,0
2002,North Dakota,4127,22815,0,26942,1830,0
2002,Ohio,91493,177973,0,269466,0,0
2002,Oklahoma,40268,80912,0,121180,0,0
2002,Oregon,44013,90360,0,134373,691,0
2002,Pennsylvania,0,556095,0,556095,5798,0
2002,Puerto Rico,6719,1263,0,7982,0,0
2002,Rhode Island,4055,4603,0,8658,0,0
2002,South Carolina,34992,58350,0,93342,13175,0
2002,South Dakota,7163,32929,0,40092,0,0
2002,Tennessee,91223,128568,0,219791,3,0
2002,Texas,142352,313156,0,455508,94820,0
2002,Utah,16940,43981,0,60921,0,0
2002,Vermont,5655,14568,0,20223,0,0
2002,Virgin Islands,1,0,0,1,0,0
2002,Virginia,69145,120780,0,189925,0,0
2002,Washington,43246,74411,0,117657,50549,0
2002,West Virginia,31513,71433,0,102946,0,0
2002,Wisconsin,39027,132412,0,171439,0,0
2002,Wyoming,7903,18007,0,25910,1998,0
2002 Total,0,1845112,4409311,0,6254423,1363211,0
2003,Alabama,67985,114104,0,182089,0,0
2003,Alaska,11141,20385,0,31526,31,0
2003,Arizona,49634,57002,0,106636,19353,0
2003,Arkansas,31430,82507,0,113937,1932,0
2003,California,158811,209606,0,368417,156003,0
2003,Colorado,67461,99640,0,167101,9584,0
2003,Connecticut,25588,27660,0,53248,43163,0
2003,Delaware,4999,11132,0,16131,0,0
2003,District of Columbia,11,0,0,11,0,0
2003,Florida,134083,144746,0,278829,0,0
2003,Georgia,70067,122709,0,192776,29539,0
2003,Guam,161,208,0,369,0,0
2003,Hawaii,0,0,0,0,7394,0
2003,Idaho,13074,36343,0,49417,11747,0
2003,Illinois,53877,95656,0,149533,363619,0
2003,Indiana,29773,75224,0,104997,72839,0
2003,Iowa,251,42061,0,42312,50608,0
2003,Kansas,23695,61476,0,85171,0,0
2003,Kentucky,65656,118164,0,183820,0,0
2003,Louisiana,51998,93440,0,145438,2,0
2003,Maine,12532,34958,0,47490,0,0
2003,Mariana Islands,1,3,0,4,0,0
2003,Maryland,772,48415,0,49187,27009,0
2003,Massachusetts,21189,17139,0,38328,85043,0
2003,Michigan,27094,176602,0,203696,134124,0
2003,Minnesota,39391,124062,0,163453,56971,0
2003,Mississippi,36612,78498,0,115110,0,0
2003,Missouri,36899,143044,0,179943,0,0
2003,Montana,15408,43737,0,59145,3713,0
2003,Nebraska,169,27344,0,27513,15722,0
2003,Nevada,22692,25381,0,48073,0,0
2003,New Hampshire,13890,25690,0,39580,14898,0
2003,New Jersey,15998,25122,0,41120,0,0
2003,New Mexico,22599,37898,0,60497,0,0
2003,New York,8649,103693,0,112342,35833,0
2003,North Carolina,2493,141837,0,144330,79605,0
2003,North Dakota,4345,23805,0,28150,2545,0
2003,Ohio,93250,178186,0,271436,0,0
2003,Oklahoma,43202,84837,0,128039,0,0
2003,Oregon,47287,92310,0,139597,617,0
2003,Pennsylvania,2,506403,0,506405,4374,0
2003,Puerto Rico,6308,1408,0,7716,0,0
2003,Rhode Island,4010,4699,0,8709,0,0
2003,South Carolina,36976,58193,0,95169,10502,0
2003,South Dakota,7834,35302,0,43136,0,0
2003,Tennessee,90007,126036,0,216043,1,0
2003,Texas,151157,312704,0,463861,103700,0
2003,Utah,18199,44198,0,62397,7133,0
2003,Vermont,5846,13841,0,19687,0,0
2003,Virgin Islands,0,0,0,0,0,0
2003,Virginia,72882,125201,0,198083,1,0
2003,Washington,52210,80915,0,133125,54061,0
2003,West Virginia,30258,69009,0,99267,0,0
2003,Wisconsin,43203,142777,0,185980,0,0
2003,Wyoming,8019,17747,0,25766,1830,0
2003 Total,0,1851078,4383057,0,6234135,1403496,0
2004,Alabama,69932,117692,0,187624,0,0
2004,Alaska,13026,21959,0,34985,0,0
2004,Arizona,56236,62487,0,118723,17605,0
2004,Arkansas,31085,85476,0,116561,8214,0
2004,California,177220,219511,0,396731,141926,0
2004,Colorado,69512,109533,0,179045,10012,0
2004,Connecticut,22768,25045,0,47813,48361,0
2004,Delaware,4977,11197,0,16174,0,0
2004,District of Columbia,14,0,0,14,0,0
2004,Florida,144755,155333,0,300088,0,0
2004,Georgia,70216,123561,0,193777,34429,0
2004,Guam,192,237,0,429,0,0
2004,Hawaii,0,0,0,0,7295,0
2004,Idaho,13278,37931,0,51209,11570,0
2004,Illinois,53904,99523,0,153427,433946,0
2004,Indiana,63235,105228,0,168463,0,0
2004,Iowa,306,45008,0,45314,51050,0
2004,Kansas,24008,63202,0,87210,0,0
2004,Kentucky,67889,124173,0,192062,0,0
2004,Louisiana,49283,93711,0,142994,0,0
2004,Maine,13287,35746,0,49033,0,0
2004,Mariana Islands,0,0,0,0,0,0
2004,Maryland,2552,49825,0,52377,23183,0
2004,Massachusetts,20815,16535,0,37350,41202,0
2004,Michigan,32590,169747,0,202337,135692,0
2004,Minnesota,38578,128666,0,167244,51552,0
2004,Mississippi,38079,78965,0,117044,0,0
2004,Missouri,44533,142138,0,186671,0,0
2004,Montana,15596,45577,0,61173,4066,0
2004,Nebraska,156,29683,0,29839,17188,0
2004,Nevada,23762,27412,0,51174,0,0
2004,New Hampshire,13343,26177,0,39520,17082,0
2004,New Jersey,14399,22384,0,36783,0,0
2004,New Mexico,24903,38923,0,63826,0,0
2004,New York,10349,111057,0,121406,35791,0
2004,North Carolina,1985,142499,0,144484,92972,0
2004,North Dakota,4754,25156,0,29910,2287,0
2004,Ohio,127163,173266,0,300429,0,0
2004,Oklahoma,46856,87731,0,134587,0,0
2004,Oregon,48042,98103,0,146145,470,0
2004,Pennsylvania,0,497989,0,497989,3776,0
2004,Puerto Rico,6190,1284,0,7474,0,0
2004,Rhode Island,4286,4781,0,9067,0,0
2004,South Carolina,37647,60286,0,97933,10808,0
2004,South Dakota,8440,37554,0,45994,0,0
2004,Tennessee,87637,127351,0,214988,10900,0
2004,Texas,152473,319020,0,471493,82633,0
2004,Utah,18899,45428,0,64327,14659,0
2004,Vermont,5816,13398,0,19214,0,0
2004,Virgin Islands,0,0,0,0,0,0
2004,Virginia,80005,130520,0,210525,0,0
2004,Washington,55820,86352,0,142172,34659,0
2004,West Virginia,30356,69730,0,100086,0,0
2004,Wisconsin,40981,143387,0,184368,0,0
